time_ps,time_ns,msd_nm2,sem_nm2
6090,6.09,7.65171702,0.416141576
6100,6.1,7.66294264,0.416450916
6110,6.11,7.67412628,0.416740304
6120,6.12,7.68500812,0.417044781
6130,6.13,7.69561152,0.417358881
6140,6.14,7.70628763,0.417717257
6150,6.15,7.7169781,0.418054403
6160,6.16,7.72784642,0.418376755
6170,6.17,7.73863209,0.418713064
6180,6.18,7.74908019,0.419014658
6190,6.19,7.75941169,0.419300351
6200,6.2,7.7698413,0.419672316
6210,6.21,7.78035887,0.419939511
6220,6.22,7.79097642,0.420290853
6230,6.23,7.80154669,0.420663712
6240,6.24,7.81208744,0.421056036
6250,6.25,7.82257379,0.421433234
6260,6.26,7.83306092,0.421847581
6270,6.27,7.84364895,0.422292024
6280,6.28,7.85424865,0.42272877
6290,6.29,7.86463488,0.42325382
6300,6.3,7.87485136,0.423772211
6310,6.31,7.88509449,0.42426573
6320,6.32,7.89563459,0.42480056
6330,6.33,7.9063703,0.425316163
6340,6.34,7.91716314,0.425845626
6350,6.35,7.92778247,0.426428141
6360,6.36,7.93833807,0.427009233
6370,6.37,7.94883494,0.427593729
6380,6.38,7.95968429,0.428190365
6390,6.39,7.970391,0.428777277
6400,6.4,7.9809125,0.429394799
6410,6.41,7.99151931,0.430050189
6420,6.42,8.00204893,0.4306838
6430,6.43,8.01257818,0.431348784
6440,6.44,8.02331251,0.432014382
6450,6.45,8.03383378,0.432769498
6460,6.46,8.04422715,0.433524324
6470,6.47,8.05485304,0.434237473
6480,6.48,8.06522843,0.435009974
6490,6.49,8.07561551,0.43573687
6500,6.5,8.08593409,0.436426801
6510,6.51,8.09612227,0.437099375
6520,6.52,8.1066987,0.437847909
6530,6.53,8.11748558,0.438499183
6540,6.54,8.12797403,0.439226271
6550,6.55,8.13862389,0.439955012
6560,6.56,8.14928929,0.44063334
6570,6.57,8.15960592,0.44136015
6580,6.58,8.17001038,0.442018199
6590,6.59,8.18020882,0.442724465
6600,6.6,8.19043985,0.443429187
6610,6.61,8.20056317,0.44412028
6620,6.62,8.21085709,0.444828826
6630,6.63,8.22121439,0.44556179
6640,6.64,8.23127996,0.446289798
6650,6.65,8.24148254,0.447011338
6660,6.66,8.25140516,0.447689163
6670,6.67,8.26163496,0.448418724
6680,6.68,8.27194317,0.449187645
6690,6.69,8.28224638,0.449890014
6700,6.7,8.29258917,0.450640451
6710,6.71,8.30288733,0.451407017
6720,6.72,8.31325414,0.452150919
6730,6.73,8.32350755,0.452839551
6740,6.74,8.33360051,0.453542921
6750,6.75,8.34372865,0.45423953
6760,6.76,8.35400433,0.454866954
6770,6.77,8.36441227,0.455476253
6780,6.78,8.37446975,0.456122885
6790,6.79,8.38453806,0.456721882
6800,6.8,8.39452057,0.457330668
6810,6.81,8.40466541,0.458026575
6820,6.82,8.41492162,0.458701621
6830,6.83,8.42502635,0.459393372
6840,6.84,8.43532787,0.46005088
6850,6.85,8.44565855,0.460709637
6860,6.86,8.45558616,0.461399606
6870,6.87,8.4657151,0.462081891
6880,6.88,8.47600473,0.462770009
6890,6.89,8.48592454,0.463396571
6900,6.9,8.49597208,0.464054528
6910,6.91,8.50608367,0.464706618
6920,6.92,8.51597801,0.465352708
6930,6.93,8.52591997,0.466041445
6940,6.94,8.5357924,0.466709762
6950,6.95,8.54564473,0.467363263
6960,6.96,8.55532382,0.468028644
6970,6.97,8.56515112,0.468648224
6980,6.98,8.57481914,0.469298426
6990,6.99,8.58440521,0.470030707
7000,7,8.59376097,0.470746961
7010,7.01,8.60342937,0.471481043
7020,7.02,8.61298037,0.472214657
7030,7.03,8.62233975,0.472980763
7040,7.04,8.6316208,0.473729609
7050,7.05,8.64078991,0.474403845
7060,7.06,8.65008642,0.475096287
7070,7.07,8.65932433,0.475734696
7080,7.08,8.6686624,0.476432071
7090,7.09,8.67796681,0.477051229
7100,7.1,8.68740295,0.477678915
7110,7.11,8.69680368,0.478296211
7120,7.12,8.7063182,0.478924298
7130,7.13,8.71596198,0.479547625
7140,7.14,8.72568928,0.480172618
7150,7.15,8.73533115,0.480795487
7160,7.16,8.74474747,0.48140496
7170,7.17,8.75414161,0.481993817
7180,7.18,8.76354921,0.482597538
7190,7.19,8.77324448,0.483209237
7200,7.2,8.78255863,0.483816264
7210,7.21,8.79178176,0.484421797
7220,7.22,8.80115377,0.485049703
7230,7.23,8.81047504,0.48568457
7240,7.24,8.81970338,0.48626723
7250,7.25,8.82945311,0.486858172
7260,7.26,8.83902713,0.487398799
7270,7.27,8.84861423,0.487945641
7280,7.28,8.85830394,0.488545255
7290,7.29,8.86791013,0.489133829
7300,7.3,8.87757691,0.489736982
7310,7.31,8.88719835,0.490328555
